GeneID	Length	36808_FFPE_control	43323_FFPE_control	43917_FFPE_od	44331_FFPE_od	45726_FFPE_control	47198_FFPE_control	50276_FFPE_control	50315_FFPE_control	50416_FFPE_od	51234_FFPE_od	60126_FFPE_control	60126_FF_control	60127_FFPE_od	60127_FF_od	60177_FFPE_od	60459_FF_control	60460_FFPE_control	60460_FF_control	60461_FFPE_od	60461_FF_od	60462_FF_control	60462_FFPE_control	60516_FF_control	60629_FF_control	60631_FF_od	60636_FFPE_od	60636_FF_od	60679_FFPE_od	60679_FF_od	60749_FFPE_od	60749_FF_od	60792_FFPE_od	61478_FFPE_control
ENSCAFG00000044777	1840	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	2	0	1	4	8	1	0	3	1	0	0	1	3	1	0	0
ENSCAFG00000006902	1889	6	3	0	1	8	6	3	0	1	0	0	1	2	0	0	1	4	4	5	0	1	0	0	0	0	0	0	0	2	1	0	6	1
ENSCAFG00000006913	534	168	129	55	290	131	135	130	9	30	210	1582	1090	495	1193	174	1612	1058	1905	686	1006	1309	37	1352	1521	1142	455	1443	381	1897	572	621	100	114
ENSCAFG00000006916	3025	141	107	96	221	129	201	175	11	46	140	1176	834	173	630	131	680	391	900	301	784	951	38	752	583	844	180	1061	154	1066	425	362	126	160
ENSCAFG00000006938	2277	29	22	24	37	12	12	6	4	12	23	87	80	20	109	25	87	32	152	35	134	94	5	106	76	164	29	180	19	182	145	119	12	17
ENSCAFG00000031076	796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0
ENSCAFG00000006940	315	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	1
ENSCAFG00000006951	3833	3	0	0	1	4	4	0	1	1	0	91	44	2	1	0	4	1	6	3	0	24	8	33	81	2	0	2	2	20	6	5	1	3
ENSCAFG00000006960	719	166	141	100	295	177	315	222	27	40	306	1048	840	299	623	215	870	582	1080	498	1274	887	23	805	747	1216	407	1104	339	1369	568	693	269	321
ENSCAFG00000006986	1433	2	1	1	2	0	0	2	0	0	0	0	1	0	0	0	1	1	3	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0
ENSCAFG00000031912	2685	7	1	4	7	0	1	0	0	0	0	4	2	10	13	3	0	1	0	5	1	35	2	10	1	1	0	34	7	68	1	0	2	4
ENSCAFG00000007024	2227	0	4	2	0	11	1	1	0	1	0	0	1	1	2	0	0	0	0	0	0	2	3	0	1	0	0	0	0	1	2	1	0	0
ENSCAFG00000007025	445	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	5	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000007027	996	0	1	6	0	0	1	2	1	1	1	1	3	1	2	0	1	1	4	0	5	3	1	3	3	23	3	15	0	4	10	10	7	1
ENSCAFG00000024320	976	21	40	55	39	46	36	48	26	12	16	130	110	34	60	59	86	86	90	64	36	84	9	175	73	103	61	210	23	62	52	40	25	50
ENSCAFG00000007029	2203	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	6	2	2	7	0	0	0	1	0	7	3	2	0	0
ENSCAFG00000007036	3359	20	11	34	57	21	21	31	2	6	8	65	51	32	21	32	37	49	30	20	21	53	19	55	26	70	19	110	14	30	40	36	37	16
ENSCAFG00000007041	2883	345	247	100	852	521	253	247	13	20	63	644	1602	742	1154	111	1764	680	1168	534	466	1397	49	347	1562	3768	437	1756	110	559	400	211	121	179
ENSCAFG00000007048	433	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000007054	1288	197	242	122	455	257	304	160	13	48	172	3771	2777	496	1271	195	1758	430	1723	379	2389	3848	53	1982	1662	1586	393	3218	267	2507	1047	802	264	269
ENSCAFG00000007086	2070	35	22	24	62	45	28	49	2	10	22	51	58	51	63	38	48	45	31	63	33	40	16	102	19	25	54	161	28	98	27	28	67	34
ENSCAFG00000007093	1167	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	2	0	2	0	0	0	0	0	2	0	2	0	0	1	0
ENSCAFG00000007095	1154	72	87	37	126	198	196	173	44	5	24	287	212	67	96	28	253	257	346	133	50	288	16	972	321	17	69	1214	67	328	16	13	43	148
ENSCAFG00000007111	2200	51	51	20	161	119	77	42	8	1	8	269	149	44	57	24	187	62	260	65	29	198	4	905	224	31	20	935	16	172	19	12	20	22
ENSCAFG00000007124	719	5	3	1	1	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	8	1	0	0	2	0	0	0	1	0	1
ENSCAFG00000048377	1356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000042736	1589	1	3	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSCAFG00000007126	2560	4	8	7	29	24	6	8	1	0	4	32	22	10	6	7	26	14	39	8	4	17	2	54	24	1	4	98	6	16	2	1	2	7
ENSCAFG00000007129	2001	380	289	30	321	743	468	444	55	8	20	4496	2787	396	394	125	8184	2521	9172	644	152	3340	125	2173	4495	19	81	918	156	1246	23	17	94	399
ENSCAFG00000007157	4012	146	148	58	156	160	198	131	20	63	104	711	569	148	263	148	1056	272	1157	234	456	621	21	519	888	546	128	771	80	983	502	386	167	135
ENSCAFG00000039774	1226	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	5	0
ENSCAFG00000032164	1857	8	9	4	26	0	6	13	0	2	10	57	51	34	76	21	54	20	54	13	63	61	10	77	43	74	29	139	11	73	41	62	3	5
ENSCAFG00000030117	2780	32	12	12	40	15	14	22	5	9	36	307	248	147	394	23	195	51	198	65	653	320	16	185	177	302	63	280	29	319	201	220	31	33
ENSCAFG00000024235	1068	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0
ENSCAFG00000007214	1757	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	4	1	0	0	0	0	2	0	0	0	0	0	0
ENSCAFG00000031202	2382	59	22	17	79	16	33	28	1	68	83	505	435	213	531	29	296	111	310	117	637	485	23	303	232	347	102	362	95	379	238	339	41	69
ENSCAFG00000007230	398	23	14	4	37	22	30	24	3	1	12	183	122	42	127	7	89	60	101	45	205	261	7	140	104	71	26	167	40	156	68	68	11	29
ENSCAFG00000007258	2629	228	153	167	352	132	234	143	22	277	569	3560	2988	1375	3640	367	1796	592	2082	804	6131	3395	92	1988	1864	2727	695	2341	492	2487	917	1554	206	285
ENSCAFG00000007238	2395	34	17	12	68	35	31	22	1	36	65	82	76	90	83	30	49	75	70	80	80	55	16	65	45	46	40	81	38	76	56	59	26	26
ENSCAFG00000007303	1768	632	482	202	771	506	785	571	55	90	232	6114	4359	975	2989	512	7903	2125	8785	1552	2954	5907	73	5202	6456	5401	580	5670	667	7301	2067	2071	288	615
ENSCAFG00000007339	3839	107	74	102	293	167	105	57	1	62	234	545	535	411	660	240	553	227	587	295	1024	634	51	532	426	855	342	873	119	794	657	636	170	162
ENSCAFG00000007350	1707	256	265	222	447	265	335	201	16	281	472	2837	2635	1294	3047	344	1150	670	1087	645	2928	2776	176	1329	1127	1750	547	2114	474	1551	975	946	342	461
ENSCAFG00000041622	165	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000049378	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000033975	3149	3	3	1	5	0	3	1	0	1	0	2	0	7	3	0	1	1	0	1	4	6	2	3	2	0	0	4	1	0	0	0	0	0
ENSCAFG00000007358	1550	26	14	13	45	5	30	16	0	5	22	170	96	72	80	27	86	35	106	43	200	93	3	65	55	224	24	116	15	232	168	148	38	12
ENSCAFG00000024101	1785	28	24	12	15	36	38	19	0	3	26	181	122	47	99	128	215	57	259	78	226	116	14	94	256	378	23	97	12	229	47	44	60	43
ENSCAFG00000043274	1384	1	1	0	2	2	7	1	4	0	0	0	0	1	0	5	0	0	2	7	0	1	0	0	1	1	1	0	0	0	1	0	4	0
ENSCAFG00000050037	611	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000007377	2651	73	52	59	138	109	119	63	10	21	64	488	376	133	317	106	421	249	550	174	400	376	38	402	388	505	151	654	81	553	272	206	62	73
ENSCAFG00000007405	444	39	18	14	26	28	28	24	0	15	50	540	484	131	357	41	259	121	205	106	326	462	18	188	236	208	65	271	60	199	213	208	10	24
ENSCAFG00000007407	480	3	4	16	9	2	5	5	0	0	3	26	23	1	3	6	11	6	25	6	14	20	1	39	16	34	2	66	1	16	10	7	8	1
ENSCAFG00000045485	1936	1	2	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000049147	1214	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	4
ENSCAFG00000037540	2915	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	2	3	0	1	0	1	0	2	0	0	1	1
ENSCAFG00000007422	2858	20	18	1	32	51	38	11	0	0	2	74	59	25	6	4	97	60	69	35	1	78	1	52	75	1	0	37	1	1	1	2	6	9
ENSCAFG00000007433	1596	33	19	6	73	38	39	25	2	5	8	132	85	15	63	35	413	47	558	31	117	125	0	201	281	255	19	176	11	353	163	113	26	26
ENSCAFG00000007440	1644	2	0	0	2	0	0	0	0	0	0	4	3	3	4	0	0	1	4	3	0	5	3	1	1	6	0	1	2	1	1	0	0	0
ENSCAFG00000007457	4675	68	52	15	80	50	37	52	12	24	73	841	669	259	530	35	267	165	328	159	479	699	46	272	328	252	55	409	69	355	282	211	32	44
ENSCAFG00000007465	3242	33	43	20	77	23	45	16	0	43	86	321	264	143	225	27	228	60	240	67	388	330	12	791	238	219	53	718	60	420	125	106	21	53
ENSCAFG00000029358	1189	29	18	15	40	15	48	21	0	15	31	349	247	73	243	19	134	56	137	64	502	264	6	104	142	165	46	151	30	176	76	96	19	27
ENSCAFG00000007486	2616	46	23	21	65	39	19	34	2	34	41	675	562	227	404	27	188	134	262	88	243	528	27	225	178	146	47	258	53	194	144	169	32	44
ENSCAFG00000007499	1943	5	0	0	0	2	0	0	0	0	0	3	4	4	0	0	1	0	0	0	1	6	3	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000007505	3963	96	23	14	227	141	31	54	2	10	18	526	490	489	596	4	456	168	576	169	426	765	68	268	477	244	41	384	126	477	134	178	26	59
ENSCAFG00000007509	717	6	8	0	14	1	10	1	0	0	1	10	7	1	1	7	3	1	26	5	3	3	1	5	14	9	1	12	2	11	4	3	3	4
ENSCAFG00000007533	4150	90	89	64	201	71	106	55	4	57	164	593	521	334	654	80	693	212	672	191	754	706	23	559	534	628	175	843	134	718	403	369	67	86
ENSCAFG00000007555	955	251	148	98	245	107	158	181	17	159	223	1886	1600	605	1135	138	450	538	695	333	839	1522	97	454	556	412	230	539	227	481	193	241	116	275
ENSCAFG00000047597	368	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	1	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000047797	1141	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	1	0	0	0
ENSCAFG00000007575	3793	211	330	325	808	246	390	154	25	405	1376	1728	1756	2395	7629	520	1087	552	1237	1398	7894	1605	68	1677	908	4866	1443	2966	1418	4427	2420	2836	722	1117
ENSCAFG00000007590	3383	95	67	55	185	58	96	59	5	56	158	1267	1069	531	990	89	969	252	664	303	1019	1035	54	588	840	522	171	629	218	655	712	732	81	155
ENSCAFG00000047373	3171	6	13	2	8	13	5	4	0	0	0	18	13	17	3	1	11	10	15	9	9	11	16	4	6	3	1	10	4	8	0	1	0	1
ENSCAFG00000044935	1717	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0
ENSCAFG00000048306	1354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	8	0	0	0	3	0	0	0	1	0	0	0
ENSCAFG00000044602	2454	1	4	0	0	4	1	1	0	0	1	2	1	5	1	0	0	1	0	1	0	3	1	0	0	0	0	0	0	0	1	0	0	2
ENSCAFG00000026232	161	11	1	0	1	1	4	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000047215	2380	28	13	11	3	47	42	16	10	7	1	7	9	7	5	6	0	3	6	1	2	7	3	1	7	0	0	1	1	2	0	0	47	20
ENSCAFG00000020800	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSCAFG00000044385	2511	4	0	3	1	0	2	1	0	0	0	7	8	1	0	2	1	1	2	0	3	8	0	1	2	0	0	1	0	1	0	0	0	0
ENSCAFG00000044311	1200	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	2	0	4	0	4	3	0	1	0	0	1	0	0	0	0	0	0
ENSCAFG00000042711	1780	0	0	0	0	0	0	0	0	0	0	6	2	0	0	1	3	3	5	0	0	2	8	0	4	0	0	0	0	1	0	0	0	0
ENSCAFG00000048092	1967	3	0	1	2	3	1	3	2	0	1	24	18	12	20	1	0	2	2	3	3	13	5	0	3	0	3	0	4	0	1	3	0	0
ENSCAFG00000007592	3916	110	99	42	151	85	165	88	23	12	38	2010	1570	233	376	63	1330	259	1526	287	651	1108	19	480	2005	264	133	435	136	1428	394	301	151	95
ENSCAFG00000045370	2513	1	6	1	1	0	4	0	2	1	0	29	22	4	7	4	12	5	11	2	6	19	4	3	6	2	0	4	0	5	5	6	8	1
ENSCAFG00000044524	1017	1	1	4	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSCAFG00000048320	648	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	3	1	2	0	0	0	0	0	0	0	0	0
ENSCAFG00000033119	1312	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	4	0	0	0	0	0	0
ENSCAFG00000047300	1465	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
ENSCAFG00000049430	2126	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	1	0	1	3	3	2	2	0	0	0	1	0	0	0	0	0
ENSCAFG00000044345	3776	2	0	0	1	6	0	2	0	1	0	0	4	1	0	0	2	0	3	0	2	14	11	1	1	0	0	1	0	0	0	0	2	0
ENSCAFG00000007601	6429	67	96	25	171	125	75	48	3	30	45	347	297	194	276	119	537	115	669	120	391	198	19	289	474	671	93	351	67	677	380	297	111	72
ENSCAFG00000049211	2351	1	0	2	1	0	1	0	0	0	0	0	0	6	0	0	4	0	7	0	0	5	9	1	4	0	1	0	0	7	0	0	0	0
ENSCAFG00000007606	2924	443	173	88	394	115	289	173	3	171	362	5194	4470	1629	3478	136	2568	626	2011	622	4308	4713	168	1860	1958	1159	418	2116	477	2160	848	1148	101	373
ENSCAFG00000038617	1645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000048527	794	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000041080	1157	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
ENSCAFG00000007614	1711	47	37	1	33	13	31	16	0	12	25	347	291	115	160	15	213	104	229	54	142	255	23	127	156	69	20	155	32	136	55	40	10	16
ENSCAFG00000046387	1321	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000047000	1065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000007621	926	9	7	1	16	9	7	6	0	0	0	78	42	12	23	3	71	35	82	11	16	68	2	54	76	13	3	63	4	52	14	6	1	8
ENSCAFG00000007627	1398	4	3	0	4	0	0	1	0	0	0	4	8	1	0	3	6	3	12	3	8	5	0	31	11	6	4	42	0	14	7	4	0	0
ENSCAFG00000007630	1327	54	64	18	86	43	75	35	3	7	46	453	363	102	304	63	613	156	525	131	486	461	12	496	475	242	57	441	39	313	156	167	17	45
ENSCAFG00000043497	1146	1	0	0	3	0	2	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0	1	0	0	2	3	0	0
ENSCAFG00000047871	2847	1	1	3	0	3	5	3	0	0	1	12	4	3	4	0	0	4	5	1	1	15	7	2	1	3	2	8	3	2	2	2	0	2
ENSCAFG00000007631	1670	52	28	13	22	29	57	40	3	11	10	702	459	165	207	22	258	129	347	93	349	415	17	91	319	60	41	53	61	460	100	75	57	71
ENSCAFG00000046388	1853	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	4	0
ENSCAFG00000048665	1199	6	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	9	0	2	3	6	7	2	0	0	0	3	1	0	0	0	1	6
ENSCAFG00000007636	869	321	159	112	381	171	275	222	25	75	202	1744	1281	543	1882	274	1858	992	2167	699	1396	1524	31	1380	1694	915	376	1289	416	1680	705	819	174	243
ENSCAFG00000049124	2909	0	0	1	0	0	1	6	0	0	0	3	3	4	4	0	1	0	0	0	1	5	9	0	5	1	0	0	0	0	1	0	0	0
ENSCAFG00000042919	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000027652	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000049054	3492	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	2	6	0	0	1	0	2	0	0	0	0	0	0
ENSCAFG00000007330	434	121	81	39	161	71	117	50	7	20	67	607	401	151	441	81	916	260	1127	157	420	440	11	706	703	549	139	705	105	749	132	161	55	52
ENSCAFG00000032925	3088	56	35	15	66	38	26	81	2	132	85	69	94	161	46	8	0	115	48	106	102	87	44	50	2	70	18	29	50	51	9	11	84	129
ENSCAFG00000049827	752	571	438	145	684	229	743	446	18	175	318	6442	5601	1902	3317	220	3483	1523	3774	957	2569	5204	176	2596	2911	1423	667	2745	827	2514	621	698	220	633
ENSCAFG00000031549	917	22	32	37	31	22	40	36	4	48	61	348	298	134	202	60	183	133	320	136	254	282	5	212	188	224	86	226	61	275	143	153	26	42
ENSCAFG00000007343	8672	1988	2338	860	2514	1394	4336	2222	105	1778	2832	46581	37316	11466	20903	1816	20662	7534	19741	5022	15047	27483	801	11086	21555	7977	3869	13105	4882	13751	6985	7085	1825	4167
ENSCAFG00000048203	1017	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000007361	2838	65	30	30	168	67	59	23	1	63	39	780	918	397	741	18	305	134	285	113	578	1055	89	472	385	439	110	716	96	674	357	271	33	70
ENSCAFG00000031575	1155	0	2	2	14	2	1	3	0	0	5	17	2	2	8	2	5	4	7	9	10	15	2	12	8	9	8	20	2	14	12	8	3	11
ENSCAFG00000026159	128	46	17	29	22	63	16	8	5	27	24	0	1	2	0	32	0	1	0	11	1	0	7	2	0	2	10	2	2	0	2	2	57	9
ENSCAFG00000046458	1365	2	0	0	2	1	3	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	1	0	0
ENSCAFG00000029015	805	110	90	32	140	488	256	271	42	70	33	1014	802	165	242	152	247	615	209	360	1938	1806	170	530	188	281	306	938	134	237	202	118	197	275
ENSCAFG00000046919	1012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	3	1	0
ENSCAFG00000048383	825	50	39	4	54	26	50	19	9	14	6	436	349	104	215	18	396	104	471	96	160	437	6	227	342	35	25	142	56	367	20	19	13	42
ENSCAFG00000030762	1137	141	84	21	108	72	105	97	9	33	40	860	641	169	327	26	707	220	901	117	261	561	30	349	609	95	57	252	87	292	35	33	28	94
ENSCAFG00000042925	1044	30	15	12	6	46	34	24	3	5	1	116	120	37	34	4	12	18	28	14	5	60	15	7	18	0	0	9	2	9	1	0	12	22
ENSCAFG00000007379	2686	333	366	21	313	189	473	311	12	31	6	4593	3173	817	1260	55	2091	672	2803	414	204	2228	258	1128	1707	89	94	433	254	1311	9	7	52	282
ENSCAFG00000049639	1488	3	0	0	0	1	0	1	0	1	0	9	7	0	0	0	9	3	18	2	1	2	5	1	6	0	0	1	0	2	0	0	1	0
ENSCAFG00000007387	2718	77	63	55	134	70	108	74	2	265	245	1094	882	557	1194	98	670	270	840	385	1913	1046	64	760	628	938	242	978	196	1022	463	745	42	131
ENSCAFG00000031005	467	1	2	1	6	2	1	2	0	3	2	28	30	14	1	0	6	2	3	5	11	37	8	2	4	1	4	8	9	13	3	3	0	1
ENSCAFG00000047536	2448	0	0	0	1	0	0	0	0	1	0	3	6	5	1	0	1	0	0	0	1	7	13	3	0	0	0	1	1	0	0	1	0	0
ENSCAFG00000007396	1793	256	178	101	239	104	340	240	9	252	228	3602	3092	1114	2641	93	1820	709	2118	668	2078	2829	71	1198	1882	709	363	1254	430	1560	355	468	193	389
ENSCAFG00000007400	2855	32	47	8	79	10	34	33	0	29	17	456	450	170	192	12	198	66	148	56	82	367	42	114	95	22	33	161	36	108	61	56	7	27
ENSCAFG00000043551	1107	0	7	0	5	0	2	1	0	0	0	15	18	4	1	0	5	1	8	0	3	8	0	0	4	0	0	0	1	3	0	0	0	0
ENSCAFG00000046591	1111	0	0	0	0	0	0	0	0	0	0	7	2	1	1	0	1	0	0	0	1	8	4	0	4	0	0	0	1	0	1	0	1	0
ENSCAFG00000039832	1127	7	0	4	0	1	0	1	0	1	0	0	0	0	0	3	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	2	0
ENSCAFG00000038608	606	2	0	0	1	0	0	0	0	0	0	4	0	1	6	0	2	0	0	0	0	2	4	0	4	0	0	1	2	3	0	0	0	0
ENSCAFG00000048613	1793	2	0	1	2	0	1	1	0	0	0	20	17	0	5	0	4	1	12	11	4	7	2	1	8	0	0	1	2	4	0	0	1	1
ENSCAFG00000046852	710	0	0	1	2	0	0	0	0	14	13	6	6	4	1	1	0	0	1	5	2	4	6	0	3	4	1	0	1	0	0	1	1	0
ENSCAFG00000007417	4549	259	166	265	413	106	201	224	38	243	459	2640	2399	1491	2069	287	1388	413	1511	483	2406	2402	83	1422	1453	1444	662	2107	269	1019	523	676	194	292
ENSCAFG00000007425	2881	1839	1244	496	1727	755	1877	1218	73	666	899	28955	21890	4028	11961	850	15190	5419	17722	3133	8603	26323	363	10852	16402	3675	1209	12402	1672	8998	1853	1959	457	1501
ENSCAFG00000007431	3460	118	105	50	195	45	130	72	17	316	186	2756	2481	920	2136	105	824	396	947	383	1598	2271	95	888	1111	862	244	1070	257	1018	736	799	112	252
ENSCAFG00000047666	2193	1	0	2	0	0	0	0	0	0	1	1	0	1	2	2	0	0	0	3	1	6	9	0	0	0	0	0	0	0	1	0	0	0
ENSCAFG00000024308	1230	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000048919	1339	0	0	0	0	0	0	0	0	1	1	1	4	3	3	0	0	0	2	1	0	0	8	0	0	0	0	0	1	1	0	0	0	0
ENSCAFG00000036695	515	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	2	3	0	0	0	0	0	0	0	1	0	1	0
ENSCAFG00000042419	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000043852	2223	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ENSCAFG00000007436	1457	123	44	23	98	56	62	44	4	38	52	1631	1155	364	851	31	731	243	821	186	551	1146	21	515	735	144	77	455	74	457	159	218	30	47
ENSCAFG00000042645	408	0	0	0	0	0	0	0	0	4	0	2	1	0	1	0	2	1	0	0	5	0	1	0	1	0	2	1	0	0	0	0	0	0
ENSCAFG00000048556	2223	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	2	1	2	1	2	0	0	0	0	0	1	0	0	0	0	0
ENSCAFG00000032801	2263	4	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	1	0	1	4	2	6	1	1	1	0	0	0	0	2	1	0	0
ENSCAFG00000047903	1264	13	12	1	5	1	32	11	0	2	0	10	13	3	3	4	6	15	13	4	6	9	9	11	9	0	1	5	3	3	1	0	3	0
ENSCAFG00000036631	1335	8	4	0	1	0	4	2	0	0	0	21	20	4	4	0	2	8	4	2	3	11	0	6	6	0	0	2	0	2	1	1	0	3
ENSCAFG00000007448	687	24	5	1	8	4	17	10	3	4	1	38	45	6	5	10	66	43	68	31	11	25	0	34	44	0	7	45	1	10	1	1	1	12
ENSCAFG00000044691	1438	1	1	0	0	3	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	4	2	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000025812	150	4	1	0	0	1	4	1	0	0	0	0	0	0	0	0	0	1	0	0	2	1	2	0	0	0	0	0	0	0	0	0	1	0
ENSCAFG00000047523	1095	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000042786	2520	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000046845	1361	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	6	4	0	0	0	0	0	1	0	0	0	0	0
ENSCAFG00000041008	140	32	6	17	28	16	7	5	2	13	33	2	1	16	2	27	0	22	2	18	5	4	8	2	0	5	22	4	9	2	8	5	17	5
ENSCAFG00000038521	1237	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0
ENSCAFG00000049028	221	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000045528	1337	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	2
ENSCAFG00000048449	1067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	0	0	0	0	0	0	0	0	0	0	0
